               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018983,            0.015157,          0.00077345,             0.90273,             0.89028,             0.92316,              0.5823,            0.023668,            0.014451,           0.0026303,            0.001535,            0.001535,            0.001535
                  37,            0.018856,            0.015351,          0.00079101,             0.90612,              0.8824,             0.92645,             0.58592,            0.023423,            0.014409,           0.0027129,            0.001436,            0.001436,            0.001436
                  38,            0.018661,            0.014794,          0.00088611,             0.89516,             0.88371,             0.91956,             0.58432,            0.023585,            0.014629,           0.0027549,            0.001337,            0.001337,            0.001337
                  39,            0.018675,            0.014931,           0.0005728,             0.89124,             0.87886,             0.91857,             0.58491,            0.023519,            0.014688,           0.0027512,            0.001238,            0.001238,            0.001238
                  40,            0.017975,            0.014648,          0.00087894,             0.90328,             0.87606,             0.92176,             0.59222,            0.023444,            0.014497,           0.0025717,            0.001139,            0.001139,            0.001139
                  41,            0.018055,            0.014285,          0.00058751,              0.8936,              0.8916,             0.92134,             0.57978,            0.023697,            0.014686,           0.0025844,             0.00104,             0.00104,             0.00104
                  42,              0.0177,            0.014412,          0.00059662,             0.90762,             0.88561,             0.92207,             0.58341,            0.023521,            0.014578,           0.0026303,            0.000941,            0.000941,            0.000941
                  43,            0.017605,            0.014453,          0.00076063,             0.89842,             0.88494,             0.92408,             0.58808,            0.023403,            0.014753,           0.0027689,            0.000842,            0.000842,            0.000842
                  44,            0.017357,            0.014041,          0.00055708,             0.89685,             0.89973,             0.92786,             0.59137,            0.023502,             0.01474,           0.0028531,            0.000743,            0.000743,            0.000743
                  45,            0.017001,            0.013774,          0.00049706,             0.88439,             0.89199,             0.92116,             0.59087,            0.023429,            0.014853,           0.0030036,            0.000644,            0.000644,            0.000644
                  46,            0.016978,            0.013936,          0.00059233,             0.89543,             0.89166,             0.92391,              0.5908,            0.023363,            0.014799,           0.0028088,            0.000545,            0.000545,            0.000545
                  47,            0.016579,            0.013721,          0.00048585,             0.90007,             0.88336,             0.92299,             0.59336,            0.023381,            0.014937,           0.0027741,            0.000446,            0.000446,            0.000446
                  48,            0.016633,            0.013749,          0.00051512,             0.90096,             0.88361,              0.9208,             0.59481,            0.023266,             0.01497,           0.0029371,            0.000347,            0.000347,            0.000347
                  49,            0.016321,            0.013664,          0.00056944,             0.90374,             0.88094,             0.92416,             0.59176,            0.023303,             0.01494,           0.0029361,            0.000248,            0.000248,            0.000248
